Timestamp (ms),Piezo Value Left,Piezo Value Right,Label
7617,19,18, left
7702,19,16, left
7787,16,14, left
7872,18,15, left
7957,19,17, left
8042,20,16, left
8127,15,14, left
8212,15,15, middle
8297,19,17, left
8382,19,16, left
8469,15,14, left
8554,17,16, left
8639,19,16, left
8724,16,16, middle
8809,15,14, left
8894,17,16, left
8979,18,17, left
9064,18,16, left
9149,16,14, left
9234,16,16, middle
9319,20,17, left
9404,16,16, middle
9489,14,14, middle
9574,17,15, left
9659,19,16, left
9744,18,16, left
9829,14,14, middle
9914,15,15, middle
9999,18,17, left
10084,18,16, left
10170,13,14, right
10256,17,16, left
10342,19,16, left
10428,13,13, middle
10516,15,16, right
10602,19,17, left
10688,16,14, left
10774,17,15, left
10860,20,17, left
10946,16,15, left
11032,13,14, right
11118,18,16, left
11204,17,16, left
11290,13,13, middle
11376,17,16, left
11462,18,16, left
11548,13,14, right
11634,15,14, left
11720,18,17, left
11806,16,15, left
11892,14,13, left
11978,18,16, left
12064,16,15, left
12150,12,13, right
12236,16,15, left
12322,18,16, left
12408,15,13, left
12494,15,14, left
12582,18,16, left
12668,14,13, left
12754,14,14, middle
12840,18,16, left
12926,16,15, left
13012,13,13, middle
13098,15,16, right
13184,17,16, left
13270,13,13, middle
13356,15,14, left
13442,18,16, left
13528,15,13, left
13614,14,13, left
13700,18,16, left
13786,17,14, left
13872,13,13, middle
13958,16,16, middle
14044,17,16, left
14130,14,13, left
14216,15,14, left
14302,18,16, left
14388,15,13, left
14474,14,13, left
14560,18,16, left
14648,15,13, left
14734,14,13, left
14820,17,16, left
14906,17,15, left
14992,13,13, middle
15078,16,15, left
15164,18,16, left
15250,13,13, middle
15336,14,14, middle
15422,18,16, left
15508,14,14, middle
15594,13,13, middle
15680,16,16, middle
15766,16,15, left
15852,13,13, middle
15938,15,14, left
16024,16,16, middle
16110,13,13, middle
16196,14,13, left
16282,17,16, left
16368,15,13, left
16454,12,13, right
16540,16,15, left
16626,14,15, right
16714,11,13, right
16800,16,16, middle
16886,16,15, left
16972,13,12, left
17058,15,15, middle
17144,17,16, left
17230,14,13, left
17316,14,13, left
17402,16,16, middle
17488,15,14, left
17574,12,12, middle
17660,16,15, left
17746,16,15, left
17832,13,13, middle
17918,15,14, left
18004,18,16, left
18090,14,13, left
18176,13,13, middle
18262,17,16, left
18348,17,14, left
18434,12,12, middle
18520,15,15, middle
18606,17,15, left
18694,12,12, middle
18780,16,15, left
18866,19,15, left
18952,13,12, left
19038,13,13, middle
19124,16,16, middle
19210,15,13, left
19296,12,12, middle
19382,16,15, left
19468,15,14, left
19554,12,12, middle
19640,14,14, middle
19726,17,15, left
19812,13,13, middle
19898,13,13, middle
19984,17,15, left
20070,15,13, left
20156,12,12, middle
20242,15,15, middle
20328,16,15, left
20414,13,12, left
20500,12,14, right
20586,17,15, left
20672,14,12, left
20760,14,13, left
20846,16,15, left
20932,15,13, left
21018,12,12, middle
21104,16,15, left
21190,15,14, left
21276,13,12, left
21362,15,15, middle
21448,17,15, left
21534,13,12, left
21620,14,13, left
21706,17,16, left
21792,15,13, left
21878,12,12, middle
21964,16,15, left
22050,16,14, left
