Timestamp (ms), Piezo Value,Label
11945,106, empty
12002,103, empty
12059,102, empty
12116,104, empty
12173,102, empty
12230,99, empty
12286,107, empty
12343,104, empty
12400,104, empty
12457,103, empty
12514,106, empty
12571,107, empty
12628,107, empty
12683,107, empty
12740,103, empty
12797,103, empty
12854,107, empty
12911,107, empty
12968,107, empty
13025,105, empty
13082,103, empty
13139,103, empty
13196,104, empty
13253,106, empty
13310,107, empty
13367,106, empty
13424,105, empty
13481,102, empty
13538,105, empty
13595,107, empty
13652,108, empty
13709,116, empty
13766,104, empty
13823,103, empty
13880,104, empty
13937,106, empty
13994,106, empty
14051,105, empty
14108,105, empty
14168,104, empty
14225,102, empty
14282,104, empty
14339,106, empty
14396,104, empty
14453,107, empty
14510,106, empty
14567,104, empty
14624,100, empty
14681,104, empty
14738,105, empty
14795,107, empty
14852,106, empty
14909,105, empty
14966,103, empty
15023,103, empty
15080,105, empty
15137,106, empty
15194,107, empty
15251,106, empty
15308,103, empty
15365,103, empty
15422,105, empty
15479,106, empty
15536,107, empty
15593,106, empty
15650,103, empty
15710,104, empty
15767,103, empty
15824,103, empty
15881,105, empty
15938,107, empty
15995,106, empty
16052,106, empty
16109,102, empty
16166,99, empty
16222,106, empty
16279,107, empty
16336,107, empty
16393,105, empty
16450,104, empty
16507,100, empty
16564,104, empty
16621,106, empty
16678,109, empty
16735,106, empty
16792,104, empty
16849,104, empty
16906,104, empty
16963,106, empty
17020,107, empty
17077,107, empty
17134,106, empty
17191,103, empty
17251,103, empty
17308,103, empty
17365,106, empty
17422,107, empty
17479,111, empty
17536,98, empty
17592,103, empty
17649,103, empty
17706,105, empty
17763,106, empty
17820,107, empty
17877,106, empty
17934,103, empty
17991,102, empty
18048,104, empty
18105,106, empty
18162,107, empty
18219,106, empty
18276,104, empty
18333,105, empty
18390,103, empty
18447,106, empty
18504,107, empty
18561,107, empty
18618,105, empty
18675,103, empty
18732,103, empty
18792,103, empty
18849,105, empty
18906,107, empty
18963,106, empty
19020,107, empty
19077,104, empty
19134,103, empty
19191,104, empty
19248,106, empty
19305,107, empty
19362,100, empty
19419,104, empty
19476,103, empty
19533,104, empty
19590,105, empty
19647,106, empty
19704,108, empty
19761,105, empty
19818,108, empty
19875,103, empty
19932,105, empty
19989,105, empty
20046,108, empty
20103,107, empty
20160,105, empty
20217,103, empty
20274,103, empty
20334,103, empty
20391,105, empty
20448,107, empty
20505,107, empty
20562,105, empty
20619,104, empty
20676,103, empty
20733,126, empty
20790,106, empty
20847,107, empty
20904,107, empty
20961,104, empty
21018,102, empty
21075,104, empty
21132,103, empty
21189,104, empty
21246,107, empty
21303,105, empty
21360,105, empty
21417,102, empty
21474,107, empty
21531,100, empty
21588,107, empty
21645,106, empty
21702,103, empty
21759,105, empty
21816,104, empty
21876,104, empty
21933,107, empty
21990,107, empty
22047,107, empty
22104,105, empty
22161,103, empty
22218,104, empty
22275,105, empty
22332,107, empty
22389,108, empty
22446,107, empty
22503,104, empty
22560,103, empty
22617,105, empty
22674,106, empty
22731,108, empty
22788,106, empty
22845,105, empty
22902,103, empty
22959,104, empty
23016,107, empty
23073,106, empty
23130,108, empty
23187,105, empty
23244,102, empty
23301,97, empty
23357,105, empty
23417,106, empty
23474,107, empty
23531,107, empty
23588,106, empty
23645,103, empty
23702,103, empty
23759,105, empty
23816,106, empty
23873,107, empty
23930,107, empty
23987,105, empty
24044,102, empty
24101,103, empty
24158,105, empty
24215,103, empty
24272,108, empty
24329,106, empty
24386,104, empty
24443,104, empty
24500,105, empty
24557,108, empty
24614,109, empty
24671,107, empty
24728,103, empty
24785,102, empty
24842,104, empty
24899,107, empty
24959,107, empty
25016,107, empty
25073,107, empty
25130,105, empty
25187,104, empty
25244,103, empty
25301,104, empty
25358,109, empty
25415,107, empty
25472,102, empty
25529,104, empty
25586,103, empty
25643,104, empty
25700,106, empty
25757,106, empty
25814,107, empty
25871,105, empty
25928,104, empty
25985,104, empty
26042,105, empty
26099,107, empty
26156,107, empty
26213,106, empty
26270,104, empty
26327,104, empty
26384,105, empty
26441,105, empty
26501,106, empty
26558,108, empty
26615,106, empty
26672,105, empty
26729,103, empty
26786,103, empty
26843,106, empty
26900,107, empty
26957,107, empty
27014,107, empty
27071,99, empty
27127,102, empty
27184,105, empty
27241,106, empty
27298,108, empty
27355,109, empty
27412,103, empty
27469,103, empty
27526,104, empty
27583,106, empty
27640,106, empty
27697,108, empty
27754,105, empty
27811,104, empty
27868,103, empty
27925,106, empty
27982,106, empty
28042,106, empty
28099,108, empty
28156,107, empty
28213,103, empty
28270,104, empty
28327,105, empty
28384,107, empty
28441,107, empty
28498,107, empty
28555,105, empty
28612,112, empty
28669,104, empty
28726,104, empty
28783,108, empty
28840,109, empty
28897,106, empty
28954,104, empty
29011,102, empty
29068,104, empty
29125,106, empty
29182,108, empty
29239,107, empty
29296,104, empty
29353,103, empty
29410,103, empty
29467,105, empty
29524,106, empty
29584,118, empty
29641,106, empty
29698,107, empty
29755,104, empty
29812,104, empty
29869,104, empty
29926,108, empty
29983,109, empty
0,13, empty
53,17, empty
106,17, empty
160,14, empty
214,18, empty
268,16, empty
322,13, empty
376,18, empty
430,18, empty
484,13, empty
538,16, empty
592,19, empty
646,15, empty
700,16, empty
754,18, empty
808,16, empty
862,14, empty
916,17, empty
970,17, empty
1024,15, empty
1079,17, empty
1134,19, empty
1189,17, empty
1244,16, empty
1299,17, empty
1354,19, empty
1409,17, empty
1464,11, empty
1519,24, empty
1574,26, empty
1632,23, empty
1687,3, empty
1741,0, sitting
1795,0, sitting
1849,154, sitting
1905,483, sitting
1961,296, sitting
2017,26, empty
2072,126, empty
2128,298, sitting
2184,398, sitting
2240,412, sitting
2296,408, sitting
2352,377, sitting
2408,359, sitting
2464,314, sitting
2520,326, sitting
2576,308, sitting
2632,323, sitting
2688,325, sitting
2744,361, sitting
2800,377, sitting
2856,373, sitting
2912,367, sitting
2968,353, sitting
3024,355, sitting
3080,365, sitting
3139,372, sitting
3195,373, sitting
3251,386, sitting
3307,380, sitting
3363,385, sitting
3419,386, sitting
3475,380, sitting
3531,379, sitting
3587,379, sitting
3643,391, sitting
3699,407, sitting
3755,422, sitting
3811,433, sitting
3867,424, sitting
3923,416, sitting
3979,409, sitting
4035,413, sitting
4091,450, sitting
4147,497, sitting
4203,532, sitting
4259,549, sitting
4315,550, sitting
4371,549, sitting
4427,546, sitting
4483,538, sitting
4542,518, sitting
