Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle,Label,,
64747,49,63,762, right,,
64860,50,64,762, right,,
64973,48,61,760, right,,
65086,50,63,761, right,,
65199,50,64,761, right,,
65312,48,61,760, right,,
65425,51,63,761, right,,
65538,50,63,761, right,,
65651,48,60,761, right,,
65764,51,63,762, right,,
65877,50,62,762, right,,
65990,46,60,761, right,,
66103,49,63,761, right,,
66216,45,62,761, right,,
66331,44,61,761, right,,
66444,45,63,762, right,,
66557,46,63,762, right,,
66670,44,61,760, right,,
66783,48,63,762, right,,
66896,48,63,762, right,,
67009,45,61,760, right,,
67122,49,64,761, right,,
67235,48,63,762, right,,
67348,46,60,761, right,,
67461,51,63,761, right,,
67574,48,62,760, right,,
67687,47,60,761, right,,
67800,51,63,762, right,,
67913,48,62,761, right,,
68026,48,60,761, right,,
68139,51,63,761, right,,
68252,48,60,761, right,,
68365,48,60,761, right,,
68480,52,62,761, right,,
68593,50,61,761, right,,
68706,48,60,761, right,,
68819,52,62,761, right,,
68932,50,61,762, right,,
69045,49,60,760, right,,
69158,52,63,761, right,,
69271,49,61,761, right,,
69384,49,60,761, right,,
69497,53,63,762, right,,
69610,51,61,761, right,,
69723,50,61,761, right,,
69836,53,64,762, right,,
69949,50,61,761, right,,
70062,50,61,761, right,,
70175,53,63,762, right,,
70288,50,60,761, right,,
70401,51,60,760, right,,
70514,52,61,761, right,,
70629,50,59,761, right,,
70742,49,58,760, right,,
70855,52,59,760, right,,
70968,49,56,760, right,,
71081,49,55,760, right,,
71194,52,55,760, right,,
71307,49,52,761, right,,
71420,51,53,760, right,,
71533,53,55,760, right,,
71646,51,54,760, right,,
71759,52,57,760, right,,
71872,50,52,760, right,,
71985,50,58,759, right,,
72098,51,56,760, right,,
72211,51,53,760, right,,
72324,49,54,760, right,,
72437,52,54,760, right,,
72550,52,55,760, right,,
72663,48,52,759, right,,
72778,50,53,759, right,,
72891,52,54,760, right,,
73004,48,52,759, right,,
73117,50,54,760, right,,
73230,52,55,759, right,,
73343,48,50,759, right,,
73456,52,54,759, right,,
73569,53,57,760, right,,
73682,50,54,760, right,,
73795,54,60,761, right,,
73908,52,60,761, right,,
74021,51,58,759, right,,
74134,54,61,761, right,,
74247,53,61,760, right,,
74360,51,60,761, right,,
74473,53,61,760, right,,
74586,53,62,760, right,,
74699,50,60,760, right,,
74812,54,62,761, right,,
74927,54,62,760, right,,
75040,50,60,760, right,,
75153,53,62,761, right,,
75266,53,62,761, right,,
75379,50,60,761, right,,
75492,53,62,760, right,,
75605,53,62,761, right,,
75718,50,60,760, right,,
75831,53,62,761, right,,
75944,53,62,762, right,,
76057,50,60,759, right,,
76170,53,62,760, right,,
76283,52,61,760, right,,
76396,50,57,759, right,,
76509,54,60,759, right,,
76622,52,60,760, right,,
76735,50,57,759, right,,
76848,53,60,761, right,,
76961,52,62,761, right,,
77076,48,58,761, right,,
77189,52,60,759, right,,
77302,53,61,762, right,,
77415,50,57,759, right,,
77528,53,59,759, right,,
77641,52,61,760, right,,
77754,50,59,760, right,,
77867,53,61,761, right,,
77980,51,59,760, right,,
78093,50,58,759, right,,
78206,53,62,761, right,,
78319,51,60,760, right,,
78432,50,59,759, right,,
78545,54,62,760, right,,
78658,51,60,760, right,,
78771,50,60,760, right,,
78884,53,62,761, right,,
78997,51,61,760, right,,
79110,50,62,761, right,,
79225,53,64,760, right,,
79338,52,63,761, right,,
79451,51,62,761, right,,
79564,55,64,760, right,,
79677,52,62,762, right,,
79790,51,62,760, right,,
79903,54,64,760, right,,
0,27,67,759, right,,
109,38,70,760, right,,
220,33,68,761, right,,
331,37,70,760, right,,
442,34,68,759, right,,
553,37,68,760, right,,
664,43,70,760, right,,
775,78,73,759, left,,
886,150,74,760, left,,
998,138,70,761, left,,
1110,110,72,761, left,,
1223,110,71,761, left,,
1336,137,72,761, left,,
1449,130,74,761, left,,
1562,111,71,760, left,,
1675,114,73,760, left,,
1788,130,74,761, left,,
1901,140,73,761, left,,
2016,145,76,761, left,,
2129,188,78,762, left,,
2242,192,76,763, left,,
2355,149,78,763, left,,
2468,93,77,763, left,,
2580,131,75,763, left,,
2693,120,75,764, left,,
2806,90,74,764, left,,
2918,85,72,762, left,,
3030,85,74,763, left,,
3142,101,71,763, left,,
3255,101,74,762, left,,
3368,112,73,763, left,,
3481,130,72,763, left,,
3594,145,75,763, left,,
3707,125,74,762, left,,
3820,113,73,761, left,,
