Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle, rf Distance left, rf Distance right, Label
139446,50,50,767,94,92, middle
139631,50,51,767,96,93, middle
139817,53,52,768,117,94, middle
140005,50,50,767,109,114, middle
140194,52,52,768,109,112, middle
140394,52,52,768,95,100, middle
140581,52,50,768,98,98, middle
140767,50,50,768,95,98, middle
140953,51,52,768,95,98, middle
141150,50,52,768,95,95, middle
141350,50,52,768,93,112, middle
141537,51,52,767,95,96, middle
141723,48,50,767,95,110, middle
141922,49,50,766,93,113, middle
142109,49,52,767,96,111, middle
142297,50,51,767,96,111, middle
142485,47,50,768,95,99, middle
142671,50,52,767,96,110, middle
142858,49,50,768,95,99, middle
143044,47,50,767,95,111, middle
143231,51,52,768,95,109, middle
143418,49,50,767,95,95, middle
143625,48,51,767,95,95, middle
143824,49,50,768,95,97, middle
144023,49,50,768,95,97, middle
144222,50,50,768,95,93, middle
144421,49,50,767,97,94, middle
144609,52,52,768,97,96, middle
144797,50,50,768,98,94, middle
144985,52,52,768,99,96, middle
145173,52,51,767,96,97, middle
145361,50,50,767,98,98, middle
145549,53,52,768,94,112, middle
145738,50,50,767,96,112, middle
145930,53,52,767,99,95, middle
146118,50,50,768,122,96, middle
146308,52,52,768,122,110, middle
146510,52,51,767,97,110, middle
146700,51,51,767,95,109, middle
146889,52,52,767,94,96, middle
147077,49,50,767,96,112, middle
147267,52,52,768,97,112, middle
147457,49,50,767,96,112, middle
147647,52,52,768,95,113, middle
147837,50,50,768,97,112, middle
148029,51,50,767,96,110, middle
148218,50,51,768,96,111, middle
148419,50,52,768,96,102, middle
148608,49,50,767,94,101, middle
148797,49,51,767,95,100, middle
148986,50,51,767,125,102, middle
149178,50,52,768,95,112, middle
149368,49,50,768,122,99, middle
149558,50,52,769,96,102, middle
149747,50,50,766,95,100, middle
149936,50,52,768,98,94, middle
150124,51,51,768,95,94, middle
150314,49,51,768,99,104, middle
150503,51,52,767,95,100, middle
150692,48,50,767,98,100, middle
150881,50,52,768,99,115, middle
151071,47,50,767,115,94, middle
151261,49,52,767,96,100, middle
151450,45,50,768,96,94, middle
151638,49,52,767,95,99, middle
151826,46,49,767,96,99, middle
152014,47,52,768,119,93, middle
152204,46,50,767,95,93, middle
152391,46,51,768,98,97, middle
152581,48,50,767,95,83, middle
152768,50,50,767,110,83, middle
152969,50,51,767,125,111, middle
153161,50,50,767,98,90, middle
153349,49,51,767,98,90, middle
153560,50,50,766,93,90, middle
153759,49,51,766,90,85, middle
153946,48,50,768,119,90, middle
154136,49,52,767,122,92, middle
154326,46,50,768,119,81, middle
154515,48,52,768,120,83, middle
154704,46,50,767,121,116, middle
154899,48,50,768,95,89, middle
155086,46,50,767,119,89, middle
155288,47,52,767,120,89, middle
155490,48,52,768,124,89, middle
155692,49,52,768,97,86, middle
155879,46,50,767,121,88, middle
156069,48,52,768,109,88, middle
156270,48,52,768,120,88, middle
156472,48,52,768,120,92, middle
156662,44,50,767,121,110, middle
156854,48,51,768,121,91, middle
157057,45,50,768,116,110, middle
157249,47,52,767,121,82, middle
157438,45,50,768,95,112, middle
157628,48,52,768,122,110, middle
157820,44,50,767,93,108, middle
158009,49,52,768,117,94, middle
158199,46,50,766,126,91, middle
158389,49,52,768,120,92, middle
158579,46,50,767,95,89, middle
158766,48,52,768,121,94, middle
158956,46,50,768,103,92, middle
159145,48,52,768,108,98, middle
159337,45,50,767,84,92, middle
159524,48,52,768,97,94, middle
159712,47,50,767,100,89, middle
159901,47,51,768,103,95, middle
160090,47,51,767,103,95, middle
160302,46,52,768,94,88, middle
160489,48,51,767,99,87, middle
160676,44,49,767,102,89, middle
160865,48,52,768,97,94, middle
161053,46,49,767,97,86, middle
161252,45,49,767,97,89, middle
161451,45,49,767,121,87, middle
161643,47,52,768,121,90, middle
161843,48,52,768,121,90, middle
162043,46,52,767,117,90, middle
