Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle, rf Distance left, rf Distance right, Label
59444, 22, 59, 752, 48.00, 93.00, left
59650, 22, 58, 752, 48.00, 93.00, left
59856, 22, 59, 751, 48.00, 93.00, left
60062, 22, 59, 752, 48.00, 93.00, left
60268, 22, 58, 752, 48.00, 93.00, left
60474, 22, 58, 752, 48.00, 93.00, left
60680, 22, 59, 752, 48.00, 93.00, left
60886, 22, 59, 751, 48.00, 93.00, left
61092, 21, 58, 752, 48.00, 93.00, left
61298, 21, 59, 753, 48.00, 93.00, left
61504, 22, 59, 753, 48.00, 93.00, left
61712, 22, 58, 752, 48.00, 93.00, left
61918, 22, 59, 752, 48.00, 93.00, left
62124, 22, 59, 751, 48.00, 93.00, left
62330, 22, 58, 752, 48.00, 93.00, left
62536, 22, 58, 752, 48.00, 93.00, left
62742, 22, 59, 752, 48.00, 93.00, left
62948, 22, 58, 752, 48.00, 93.00, left
63154, 22, 58, 752, 48.00, 93.00, left
63360, 22, 59, 752, 48.00, 93.00, left
63566, 22, 59, 752, 48.00, 93.00, left
63772, 24, 58, 752, 48.00, 93.00, left
63978, 24, 58, 752, 48.00, 93.00, left
64184, 22, 59, 752, 48.00, 93.00, left
64392, 23, 58, 752, 48.00, 93.00, left
64598, 21, 59, 751, 48.00, 93.00, left
64804, 23, 58, 752, 48.00, 93.00, left
65010, 21, 58, 752, 48.00, 93.00, left
65216, 23, 58, 751, 48.00, 93.00, left
65422, 21, 59, 752, 48.00, 93.00, left
65628, 21, 58, 752, 48.00, 93.00, left
65834, 22, 58, 752, 48.00, 93.00, left
66040, 24, 58, 752, 48.00, 93.00, left
66246, 25, 57, 752, 48.00, 93.00, left
66452, 19, 57, 751, 48.00, 93.00, left
66658, 24, 58, 752, 48.00, 93.00, left
66864, 22, 58, 752, 48.00, 93.00, left
67072, 28, 58, 751, 48.00, 93.00, left
67278, 20, 58, 752, 48.00, 93.00, left
67484, 21, 58, 751, 48.00, 93.00, left
67690, 19, 58, 752, 48.00, 93.00, left
67896, 19, 58, 752, 48.00, 93.00, left
68102, 21, 58, 751, 48.00, 93.00, left
68308, 23, 59, 752, 48.00, 93.00, left
68514, 26, 59, 751, 48.00, 93.00, left
68720, 22, 58, 751, 48.00, 93.00, left
68926, 19, 58, 751, 48.00, 93.00, left
69132, 26, 58, 751, 48.00, 93.00, left
69338, 15, 58, 751, 48.00, 93.00, left
69546, 18, 59, 751, 48.00, 93.00, left
69752, 27, 58, 751, 48.00, 93.00, left
69958, 17, 58, 751, 48.00, 93.00, left
70164, 24, 59, 751, 48.00, 93.00, left
70370, 22, 59, 751, 48.00, 93.00, left
70576, 19, 58, 752, 48.00, 93.00, left
70782, 22, 59, 752, 48.00, 93.00, left
70988, 21, 59, 752, 48.00, 93.00, left
71194, 23, 58, 752, 48.00, 93.00, left
71400, 21, 59, 751, 48.00, 93.00, left
71606, 22, 59, 752, 48.00, 93.00, left
71812, 22, 59, 751, 48.00, 93.00, left
72018, 22, 58, 751, 48.00, 93.00, left
72226, 22, 59, 751, 48.00, 93.00, left
72432, 22, 58, 753, 48.00, 93.00, left
72638, 22, 58, 752, 48.00, 93.00, left
72844, 22, 59, 751, 48.00, 93.00, left
73050, 22, 59, 752, 48.00, 93.00, left
73256, 22, 58, 751, 48.00, 93.00, left
73462, 21, 59, 752, 48.00, 93.00, left
73668, 22, 59, 751, 48.00, 93.00, left
73874, 22, 58, 752, 48.00, 93.00, left
74080, 21, 59, 752, 48.00, 93.00, left
74286, 22, 59, 751, 48.00, 93.00, left
74492, 22, 58, 751, 48.00, 93.00, left
74698, 22, 58, 751, 48.00, 93.00, left
74906, 22, 59, 752, 48.00, 93.00, left
75112, 22, 58, 751, 48.00, 93.00, left
75318, 22, 58, 752, 48.00, 93.00, left
75524, 22, 59, 752, 48.00, 93.00, left
75730, 22, 59, 752, 48.00, 93.00, left
75936, 22, 58, 751, 48.00, 93.00, left
76142, 22, 59, 751, 48.00, 93.00, left
76348, 22, 59, 752, 48.00, 93.00, left
76554, 22, 58, 751, 48.00, 93.00, left
76760, 22, 59, 751, 48.00, 93.00, left
76966, 22, 59, 751, 48.00, 93.00, left
77172, 23, 58, 751, 48.00, 93.00, left
77378, 22, 58, 751, 48.00, 93.00, left
77586, 22, 59, 751, 48.00, 93.00, left
77792, 22, 58, 752, 48.00, 93.00, left
77998, 23, 58, 751, 48.00, 93.00, left
78204, 22, 59, 752, 48.00, 93.00, left
78410, 22, 59, 751, 48.00, 93.00, left
78616, 22, 58, 751, 48.00, 93.00, left
78822, 22, 58, 751, 48.00, 93.00, left
79028, 22, 59, 751, 48.00, 93.00, left
79234, 22, 59, 751, 48.00, 93.00, left
79440, 22, 58, 751, 48.00, 93.00, left
79646, 21, 59, 752, 48.00, 93.00, left
79852, 22, 59, 751, 48.00, 93.00, left
80058, 22, 58, 751, 48.00, 93.00, left
80266, 22, 59, 752, 48.00, 93.00, left
80472, 22, 58, 751, 48.00, 93.00, left
80678, 22, 58, 751, 48.00, 93.00, left
80884, 22, 59, 751, 48.00, 93.00, left
81090, 22, 59, 751, 48.00, 93.00, left
81296, 22, 58, 751, 48.00, 93.00, left
81502, 22, 58, 751, 48.00, 93.00, left
81708, 22, 59, 751, 48.00, 93.00, left
81914, 23, 58, 751, 48.00, 93.00, left
82120, 23, 58, 751, 48.00, 93.00, left
82326, 22, 59, 751, 48.00, 93.00, left
82532, 23, 59, 751, 48.00, 93.00, left
82741, 23, 58, 752, 48.00, 93.00, left
82947, 22, 59, 751, 48.00, 93.00, left
83153, 22, 58, 751, 48.00, 93.00, left
83359, 22, 58, 751, 48.00, 93.00, left
83565, 22, 59, 751, 48.00, 93.00, left
83771, 22, 59, 752, 48.00, 93.00, left
83977, 23, 58, 751, 48.00, 93.00, left
84183, 22, 58, 751, 48.00, 93.00, left
84389, 22, 59, 752, 48.00, 93.00, left
84595, 22, 58, 751, 48.00, 93.00, left
84801, 22, 58, 751, 48.00, 93.00, left
85007, 22, 59, 751, 48.00, 93.00, left
85213, 22, 59, 752, 48.00, 93.00, left
85422, 22, 58, 752, 48.00, 93.00, left
85628, 22, 59, 751, 48.00, 93.00, left
85834, 22, 58, 752, 48.00, 93.00, left
86040, 22, 58, 751, 48.00, 93.00, left
86246, 22, 59, 752, 48.00, 93.00, left
86452, 23, 59, 752, 48.00, 93.00, left
86658, 23, 58, 752, 48.00, 93.00, left
86864, 22, 58, 751, 48.00, 93.00, left
87070, 23, 59, 751, 48.00, 93.00, left
87276, 23, 58, 752, 48.00, 93.00, left
87482, 22, 58, 752, 48.00, 93.00, left
87688, 22, 59, 752, 48.00, 93.00, left
87894, 22, 58, 752, 48.00, 93.00, left
88102, 22, 58, 751, 48.00, 93.00, left
88308, 22, 59, 752, 48.00, 93.00, left
88514, 22, 58, 751, 48.00, 93.00, left
88720, 22, 58, 751, 48.00, 93.00, left
88926, 22, 59, 751, 48.00, 93.00, left
89132, 23, 59, 751, 48.00, 93.00, left
89338, 22, 58, 751, 48.00, 93.00, left
89544, 22, 58, 751, 48.00, 93.00, left
89750, 22, 59, 752, 48.00, 93.00, left
89956, 22, 58, 752, 48.00, 93.00, left
90162, 22, 58, 752, 48.00, 93.00, left
90368, 22, 59, 751, 48.00, 93.00, left
90574, 22, 58, 751, 48.00, 93.00, left
90782, 22, 58, 751, 48.00, 93.00, left
90988, 21, 59, 750, 48.00, 93.00, left
91194, 23, 58, 751, 48.00, 93.00, left
91400, 21, 58, 751, 48.00, 93.00, left
91606, 22, 59, 752, 48.00, 93.00, left
91812, 23, 59, 751, 48.00, 93.00, left
92018, 22, 58, 752, 48.00, 93.00, left
92224, 22, 58, 752, 48.00, 93.00, left
92430, 22, 59, 751, 48.00, 93.00, left
92636, 22, 58, 751, 48.00, 93.00, left
92842, 22, 58, 751, 48.00, 93.00, left
93048, 22, 59, 752, 48.00, 93.00, left
93254, 22, 58, 752, 48.00, 93.00, left
93462, 22, 58, 752, 48.00, 93.00, left
93668, 22, 59, 751, 48.00, 93.00, left
93874, 22, 59, 752, 48.00, 93.00, left
94080, 22, 58, 751, 48.00, 93.00, left
94286, 22, 59, 751, 48.00, 93.00, left
94492, 22, 59, 752, 48.00, 93.00, left
94698, 23, 58, 751, 48.00, 93.00, left
94904, 22, 58, 751, 48.00, 93.00, left
95110, 22, 59, 752, 48.00, 93.00, left
95316, 23, 58, 751, 48.00, 93.00, left
95522, 22, 58, 751, 48.00, 93.00, left
95728, 22, 59, 752, 48.00, 93.00, left
95936, 23, 58, 751, 48.00, 93.00, left
96142, 22, 58, 751, 48.00, 93.00, left
96348, 22, 59, 751, 48.00, 93.00, left
96554, 22, 59, 751, 48.00, 93.00, left
96760, 22, 58, 751, 48.00, 93.00, left
96966, 21, 59, 751, 48.00, 93.00, left
97172, 22, 59, 751, 48.00, 93.00, left
97378, 22, 58, 752, 48.00, 93.00, left
97584, 22, 58, 751, 48.00, 93.00, left
97790, 22, 59, 752, 48.00, 93.00, left
97996, 23, 58, 752, 48.00, 93.00, left
98202, 22, 58, 752, 48.00, 93.00, left
98408, 22, 59, 751, 48.00, 93.00, left
98616, 22, 58, 752, 48.00, 93.00, left
98822, 22, 58, 751, 48.00, 93.00, left
99028, 22, 59, 751, 48.00, 93.00, left
99234, 23, 59, 752, 48.00, 93.00, left
99440, 22, 58, 752, 48.00, 93.00, left
99646, 22, 58, 752, 48.00, 93.00, left
99852, 22, 59, 751, 48.00, 93.00, left
100058, 23, 58, 752, 48.00, 93.00, left
100265, 22, 58, 752, 48.00, 93.00, left
100472, 22, 59, 752, 48.00, 93.00, left
100679, 23, 58, 752, 48.00, 93.00, left
100886, 22, 58, 752, 48.00, 93.00, left
101093, 22, 59, 752, 48.00, 93.00, left
101302, 23, 58, 752, 48.00, 93.00, left
101509, 22, 59, 751, 48.00, 93.00, left
101716, 23, 58, 751, 48.00, 93.00, left
101923, 23, 58, 752, 48.00, 93.00, left
102130, 22, 59, 752, 48.00, 93.00, left
102337, 23, 58, 752, 48.00, 93.00, left
102544, 23, 58, 752, 48.00, 93.00, left
102751, 22, 59, 752, 48.00, 93.00, left
102958, 23, 58, 752, 48.00, 93.00, left
103165, 22, 58, 752, 48.00, 93.00, left
103372, 23, 59, 752, 48.00, 93.00, left
103579, 23, 59, 752, 48.00, 93.00, left
103788, 23, 59, 752, 48.00, 93.00, left
103995, 23, 59, 752, 48.00, 93.00, left
104202, 23, 58, 752, 48.00, 93.00, left
104409, 23, 59, 751, 48.00, 93.00, left
104616, 23, 59, 752, 48.00, 93.00, left
104823, 23, 58, 751, 48.00, 93.00, left
105030, 23, 59, 752, 48.00, 93.00, left
105237, 23, 59, 751, 48.00, 93.00, left
105444, 23, 58, 751, 48.00, 93.00, left
105651, 23, 59, 753, 48.00, 93.00, left
105858, 23, 58, 752, 48.00, 93.00, left
106065, 23, 58, 752, 48.00, 93.00, left
106272, 23, 59, 752, 48.00, 93.00, left
106481, 23, 58, 751, 48.00, 93.00, left
106688, 23, 58, 751, 48.00, 93.00, left
106895, 23, 59, 752, 48.00, 93.00, left
107102, 23, 58, 752, 48.00, 93.00, left
107309, 24, 59, 751, 48.00, 93.00, left
107516, 23, 59, 752, 48.00, 93.00, left
107723, 23, 58, 752, 48.00, 93.00, left
107930, 23, 59, 751, 48.00, 93.00, left
108137, 23, 59, 753, 48.00, 93.00, left
108344, 23, 58, 752, 48.00, 93.00, left
108551, 23, 59, 752, 48.00, 93.00, left
108758, 23, 59, 752, 48.00, 93.00, left
108967, 23, 58, 752, 48.00, 93.00, left
109174, 22, 59, 752, 48.00, 93.00, left
109381, 23, 58, 752, 48.00, 93.00, left
109588, 23, 59, 752, 48.00, 93.00, left
109795, 23, 59, 752, 48.00, 92.00, left
109990, 23, 59, 752, 48.00, 92.00, left
110197, 23, 59, 752, 48.00, 92.00, left
110404, 23, 58, 752, 48.00, 92.00, left
110611, 23, 59, 752, 48.00, 92.00, left
110818, 23, 59, 752, 48.00, 92.00, left
111025, 23, 58, 752, 48.00, 92.00, left
111232, 23, 59, 752, 48.00, 92.00, left
111439, 24, 58, 751, 48.00, 92.00, left
111648, 24, 58, 752, 48.00, 92.00, left
111855, 23, 59, 752, 48.00, 92.00, left
112062, 24, 58, 752, 48.00, 92.00, left
112269, 24, 59, 752, 48.00, 92.00, left
112476, 24, 59, 752, 48.00, 92.00, left
112683, 24, 58, 752, 48.00, 92.00, left
112890, 24, 59, 752, 48.00, 92.00, left
113097, 24, 59, 752, 48.00, 92.00, left
